,channel_title,subscriber_count,,Year Growth ,Month Growth
0,Onkiify,4820,,0,0
1,Boyzz World Gaming,1690,,"12,000","1,000"
2,Majnu Gaming,4690,,0,0
3,SELEM YT,133000,,0,0
4,Paglaa Tech,147000,,"2,52,000","21,000"
5,Prabhat Gamer,2150000,,"16,80,000","1,40,000"
6,SUBHAM HORE,1110000,,0,0
7,SILENT GIRL GAMING,2590000,,"9,60,000",80000
8,Ziyan Ki Gang,10300,,200,2400
9,Comedy Box R k Gautam,10100,,120,1440
10,Jentilal,5890,,"1,200",100
11,AG !,91200,,0,0
12,Comedian Vikas Thakur,11400,,0,0
13,DilSeBuraLagtaHai Bhai,45,,0,0
14,Nazar Battu,4190000,,0,0
15,Sudarshan Gurjar,109000,,"1,35,000",11300
16,Priyansh Agarwal,46600,,"1,400",16800
17,Gate Smashers,1350000,,"4,80,000",40000
18,SAURABH DAHIVADKAR,154000,,"72,000",6000
19,Rajat Arora,2060000,,"9,60,000",80000
20,RAIL GYANKOSH,1000000,,"4,000",48000
21,Devsnest,15400,,"2,400",200
22,warikoo,2800000,,"9,60,000",80000
23,Prafull MBA CHAI WALA,1650000,,0,0
24,Gold Janardhan Investor,3560,,"42,800",3570
25,CA Rachana Phadke Ranade,4360000,,"4,80,000",40000
26,pranjal kamra,5110000,,"7,20,000",60000
27,Finance With Sharan,1660000,,"10,80,000",90000
28,Ishaan Arora,19800,,0,0
29,Amusing Rii,508000,,"24,000",5600
30,Sakshi Shrivas,197000,,"41,000",9560
31,Rohan Joshi,171000,,0,0
32,Abhishek Prajapati,105000,,0,0
33,Mumbiker Nikhil,3960000,,"20,000",4660
34,MOinsideHIT,1000000,,"2,16,000",18000
35,Intxstelar,184000,,"60,000",5000
36,ChessBase India,1170000,,"3,60,000",30000
37,R.G Bucket List,3020000,,72,6
38,Anime Spirit,276000,,"24,000",2000
39,SeeKen,3920000,,"4,80,000",40000
40,Neon Man,1820000,,"20,000",4660
41,NeuzBoy,1170000,,0,0
42,Roman Mania,103000,,"1,89,000",15800
43,Jordindian,2780000,,"2,40,000",20000
44,Vivek Desai,90400,,12,1
45,Samay Raina,1130000,,"1,20,000",10000
46,Log Kya Kahenge,503000,,"1,08,000",9000
47,Sambhavna Seth Entertainment,3460000,,"2,40,000",20000
48,ANS Entertainment,1390000,,0,0
49,Jenny's Lectures CS IT,1170000,,"3,60,000",30000
