,duration
0,PT27S
1,PT2M
2,PT2M9S
3,PT4M36S
4,PT1M6S
5,PT49S
6,PT3M40S
7,PT2M26S
8,PT1M58S
9,PT4M3S
10,PT10M59S
11,PT4M25S
12,PT2M19S
13,PT1M34S
14,PT3M40S
15,PT3M58S
16,PT2M43S
17,PT3M15S
18,PT3M42S
19,PT23M51S
20,PT1H42M54S
21,PT13M33S
22,PT20M9S
23,PT1M33S
24,
25,
26,PT10M11S
27,
28,PT40S
29,PT2M31S
30,PT11H54M37S
31,PT25S
32,PT3M39S
33,PT5M1S
34,PT12M24S
35,PT2M12S
36,
37,PT17M12S
38,PT4M41S
39,PT1M5S
40,
41,PT44M40S
42,
43,
44,PT2M8S
45,
46,PT9M58S
47,PT4M3S
48,
49,PT13M20S
50,
51,PT22M17S
52,PT22M9S
53,PT13M3S
54,PT4M55S
55,PT20M25S
56,PT8M26S
57,PT40M48S
58,PT1M2S
59,PT22M29S
60,PT1M33S
61,PT1M11S
62,PT40S
63,PT1M13S
64,
65,PT11M4S
66,PT8M59S
67,PT1M55S
68,PT58S
69,
70,PT24M11S
71,PT5M3S
72,PT21M3S
73,
74,
75,PT38M41S
76,PT14M27S
77,PT2M22S
78,PT4M9S
79,PT2M6S
80,
81,PT8M2S
82,
83,PT1M5S
84,PT1M46S
85,PT1M4S
86,PT10M34S
87,PT1M23S
88,PT13M5S
89,PT20M17S
90,PT4M40S
91,
92,PT1M58S
93,PT17M42S
94,PT16M50S
95,
96,
97,
98,
99,PT1M49S
100,PT12M13S
101,PT4M54S
102,PT2H15M46S
103,PT5M11S
104,PT4M51S
105,
106,PT11M50S
107,
108,PT2M17S
109,PT8M16S
110,PT25M25S
111,PT20M55S
112,
113,PT2M7S
114,
115,PT2M47S
116,
117,PT21M48S
118,
119,PT5M59S
120,
121,
122,
123,PT1M59S
124,PT20M2S
125,PT1M29S
126,PT4M52S
127,PT53M2S
128,PT1M51S
129,PT2M46S
130,
131,PT5M43S
132,
133,PT30S
134,
135,
136,PT7M50S
137,PT6M55S
138,
139,PT1M24S
140,PT8M20S
141,PT11M47S
142,
143,PT15M52S
144,
145,PT31M36S
146,PT5M34S
147,
148,
149,
150,
151,PT21M37S
152,PT4M24S
153,PT3M
154,PT1M17S
155,
156,PT24M38S
157,
158,PT1M34S
159,PT1M28S
160,
161,
162,
163,PT3M58S
164,PT7M5S
165,PT2M53S
166,PT2M23S
167,PT8M49S
168,PT1M14S
169,
170,PT6M44S
171,PT16M19S
172,PT3M19S
173,
174,PT3M
175,
176,
177,PT9M11S
178,PT3M4S
179,PT9M11S
180,PT3M9S
181,
182,PT2M2S
183,
184,PT14M16S
185,PT15M13S
186,PT1M12S
187,PT1M53S
188,
189,
190,
191,
192,PT8M50S
193,PT3H12M33S
194,PT6M20S
195,PT14M21S
196,PT6M15S
197,PT10M18S
198,PT6H10M18S
199,
200,
201,PT5M7S
202,PT27S
203,PT2M
204,PT1M6S
205,PT6M21S
206,PT1M58S
207,PT1M26S
208,PT2M9S
209,PT13M21S
210,PT5M1S
211,PT3M40S
212,PT13M9S
213,PT5M16S
214,PT4M36S
215,PT5M8S
216,PT20M17S
217,
218,
219,PT31M39S
220,PT1M5S
221,PT2M26S
222,
223,PT10M59S
224,
225,PT1M44S
226,PT2M43S
227,PT4M25S
228,PT4M3S
229,PT3M25S
230,PT2M31S
231,
232,PT17M4S
233,PT49S
234,PT3M58S
235,PT20M10S
236,PT21M31S
237,PT1M14S
238,PT6M52S
239,PT3M42S
240,PT22M17S
241,PT33S
242,PT1H42M54S
243,PT1M34S
244,
245,
246,PT2M22S
247,PT23M51S
248,PT43M18S
249,PT5M7S
250,
251,PT10M11S
252,PT21M53S
253,
254,PT2M38S
255,
256,PT5M47S
257,PT3M10S
258,PT23M4S
259,PT1M50S
260,PT45M15S
261,PT4M50S
262,PT3M15S
263,PT57S
264,PT19M33S
265,PT3M40S
266,PT40M25S
267,
268,PT1M54S
269,
270,PT4M3S
271,PT11H54M37S
272,PT5M43S
273,
274,PT11M18S
275,PT40S
276,
277,PT21M42S
278,PT6M14S
279,PT1M33S
280,PT10M25S
281,
282,PT2M3S
283,PT16M7S
284,PT14M12S
285,PT1M17S
286,
287,
288,PT4M32S
289,PT15M21S
290,PT3M39S
291,PT36M6S
292,PT13M33S
293,PT22M8S
294,PT5M4S
295,PT19M4S
296,PT1M27S
297,PT1M37S
298,
299,
300,PT3M43S
301,PT11M41S
302,
303,PT4M24S
304,PT2M25S
305,PT11M8S
306,PT1M10S
307,
308,
309,PT12M24S
310,PT1M
311,PT2M22S
312,PT3M19S
313,PT1M27S
314,PT11M33S
315,PT2M19S
316,PT9M58S
317,PT4M41S
318,PT13M20S
319,
320,PT28M13S
321,PT1M16S
322,PT8M26S
323,PT13M3S
324,PT2M53S
325,
326,PT4M52S
327,PT3M9S
328,PT1M28S
329,PT11M4S
330,PT2M54S
331,PT3M25S
332,PT2M12S
333,
334,PT2M7S
335,PT1M28S
336,PT1H12M24S
337,PT14M15S
338,
339,
340,PT7M42S
341,
342,PT8M59S
343,
344,PT4M30S
345,PT3M57S
346,PT12M54S
347,PT8M2S
348,PT1M32S
349,PT2M8S
350,
351,PT40M48S
352,
353,PT38M41S
354,PT3M49S
355,
356,
357,
358,PT1M23S
359,
360,
361,PT1M51S
362,
363,
364,PT8M16S
365,PT4M49S
366,PT9M15S
367,PT58S
368,PT1M55S
369,
370,PT10M7S
371,PT1M5S
372,
373,
374,
375,PT2M46S
376,PT24M38S
377,PT4M40S
378,PT2M2S
379,PT14M27S
380,
381,
382,PT13M5S
383,PT7M19S
384,PT2M20S
385,
386,PT12M13S
387,PT1M46S
388,PT57S
389,PT7M50S
390,
391,
392,PT8M20S
393,PT3M16S
394,
395,
396,
397,PT3M
398,PT1M24S
399,PT4M9S
400,
401,PT5M7S
402,PT3M29S
403,PT27S
404,PT2M
405,PT1M11S
406,
407,PT13M21S
408,PT1M26S
409,PT22M6S
410,PT6M21S
411,
412,PT1M24S
413,
414,PT2M3S
415,
416,PT1M14S
417,PT5M16S
418,PT1M6S
419,
420,PT1M58S
421,PT5M1S
422,PT5M47S
423,PT5M8S
424,PT3M40S
425,PT13M9S
426,
427,PT1M5S
428,PT31M39S
429,PT4M50S
430,PT2M9S
431,PT18M56S
432,PT22M46S
433,PT2M6S
434,PT2M38S
435,PT22M2S
436,PT21M51S
437,PT14M2S
438,PT4M36S
439,
440,PT18M28S
441,PT19M40S
442,PT17M4S
443,
444,PT33S
445,PT6M52S
446,
447,PT7M6S
448,PT21M51S
449,PT5M43S
450,PT20M10S
451,PT2M26S
452,PT3M25S
453,PT2M43S
454,
455,PT1M
456,PT10M59S
457,
458,PT3M43S
459,PT2M31S
460,
461,PT26M8S
462,PT4M25S
463,PT39M4S
464,PT23M4S
465,PT43M2S
466,PT2M22S
467,PT19M4S
468,PT8M35S
469,PT4M32S
470,PT22M17S
471,PT3M58S
472,PT4M3S
473,PT3M42S
474,
475,PT2M57S
476,PT14M36S
477,PT5M40S
478,PT1H42M54S
479,PT12M54S
480,PT49S
481,
482,PT21S
483,PT1M50S
484,PT3M27S
485,
486,PT22M42S
487,
488,PT5M7S
489,
490,PT2M8S
491,PT31S
492,
493,PT1M27S
494,
495,
496,PT1M54S
497,
498,PT9M51S
499,PT14M12S
500,
501,PT23M51S
502,PT1M34S
503,PT1M27S
504,PT43M38S
505,PT10M11S
506,PT3M10S
